ticker,m_max_macd,m_min_macd,w_max_macd,w_min_macd,d_max_macd,d_min_macd,m_last_macd,w_last_macd,d_last_macd,daily_overbought_score,weekly_overbought_score,monthly_overbought_score,total_overbought_score
INFY,3.2193,-0.3895,1.551,-1.2174,1.0933,-0.9584,0.3552,-0.5833,0.1709,15.63,-37.61,11.03,-3.65
CF,15.5937,-4.8111,11.9051,-6.5669,6.6005,-4.7302,4.1765,3.7245,1.0182,15.43,31.28,26.78,24.5
MOS,21.4973,-4.7339,8.7293,-3.6167,5.0109,-3.3348,-0.4217,2.7432,0.77,15.37,31.43,-1.96,14.94
SMCI,20.0074,-0.2479,20.4879,-11.3823,13.9405,-8.0846,2.6606,1.2653,2.1149,15.17,6.18,13.3,11.55
UPST,55.7849,-25.0147,63.1428,-32.0848,35.0281,-33.7233,4.4309,1.5526,5.3116,15.16,2.46,7.94,8.52
LEN,21.1841,-7.8533,10.8647,-12.2134,7.0808,-8.587,-1.2269,-7.4426,1.023,14.45,-68.5,-5.79,-19.95
TOST,4.6415,-9.1562,4.3868,-8.6257,3.5384,-4.7005,4.6415,2.3462,0.5002,14.14,53.48,100.0,55.87
MO,5.6757,-2.0306,2.8678,-1.8369,1.5034,-1.9928,5.6757,2.0774,0.2083,13.86,72.44,100.0,62.1
SAP,41.8482,-9.2805,18.1858,-9.1294,9.2601,-12.2975,41.8482,13.2677,1.2828,13.85,72.96,100.0,62.27
PM,23.5322,-2.6045,14.0617,-4.7256,7.5047,-4.4596,23.5322,13.2247,1.0333,13.77,94.05,100.0,69.27
WMB,8.0418,-3.1385,4.5601,-1.7681,2.2105,-1.8492,7.8425,1.9406,0.3039,13.75,42.56,97.52,51.28
UPS,21.2934,-12.4647,14.7487,-8.3698,10.2819,-7.7549,-12.2565,-4.8742,1.4007,13.62,-33.05,-57.56,-25.66
KMX,14.2746,-10.8896,9.9157,-10.7746,7.2582,-12.3644,-2.9172,-2.9348,0.9709,13.38,-29.6,-20.44,-12.22
FSLR,62.2692,-32.3241,27.2802,-20.2665,25.7542,-10.8996,-0.2006,-2.0739,3.4433,13.37,-7.6,-0.32,1.82
AA,12.4926,-13.7558,10.7883,-5.6287,5.5081,-6.7701,-2.0333,-1.6682,0.7337,13.32,-15.46,-16.28,-6.14
ABT,11.9047,-1.3602,6.2747,-4.2151,4.3603,-3.73,8.3318,3.7258,0.5807,13.32,59.38,69.99,47.56
DAL,6.902,-5.8825,5.0772,-9.2012,3.3813,-8.0816,2.6243,-1.4142,0.4464,13.2,-27.85,38.02,7.79
XLP,4.5187,-0.5257,2.3643,-1.5502,1.4166,-2.6144,3.4035,0.617,0.1861,13.14,26.1,75.32,38.18
GPN,21.744,-14.977,10.9991,-16.0068,6.3215,-17.7734,-9.7363,-6.838,0.8283,13.1,-62.17,-44.78,-31.28
LSCC,13.7057,-4.5394,8.6211,-7.042,4.8943,-6.984,-4.3903,-1.7842,0.6407,13.09,-20.7,-32.03,-13.21
HD,41.0251,-2.0577,22.9257,-15.0183,13.2427,-17.1598,17.3138,-4.2776,1.7326,13.08,-18.66,42.2,12.21
MLM,62.5088,-6.0865,44.536,-21.4171,24.4573,-25.8338,28.4553,7.1999,3.1968,13.07,16.17,45.52,24.92
CART,3.9757,-1.2301,3.3913,-1.62,2.4752,-2.6784,3.9757,0.8941,0.3206,12.95,26.36,100.0,46.44
CNX,12.275,-6.3258,3.9934,-1.4081,1.9171,-2.0835,3.3677,0.4684,0.245,12.78,11.73,27.44,17.31
ROKU,84.5546,-48.5497,72.5034,-52.2402,31.5875,-24.6052,-4.1515,2.1758,3.9819,12.61,3.0,-4.91,3.57
W,51.5886,-47.5742,53.8453,-41.0236,29.5318,-17.0251,-8.8626,2.0539,3.6721,12.43,3.81,-17.18,-0.31
UAL,12.6429,-12.3429,13.9678,-16.7163,7.0702,-13.322,9.3521,-0.6838,0.8702,12.31,-4.9,73.97,27.13
WMT,12.4497,-0.6681,6.8092,-1.7186,3.2011,-3.2918,12.3507,2.6585,0.3681,11.5,39.04,99.2,49.92
XLRE,3.6664,-0.9011,2.0252,-2.1332,1.1606,-2.7119,1.4356,0.1575,0.1271,10.95,7.78,39.16,19.29
ALB,40.0595,-29.0314,23.8486,-22.9347,15.4349,-14.7054,-27.7001,-6.2548,1.6544,10.72,-26.23,-69.15,-28.22
